date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:10	119676/119676	---MCZ	200	added ('OK')	text/html	etag:W/%2262d67702-1d37c%22	https://codescandy.com/geeks-bootstrap-5/index.html	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/index.html	(from )
18:16:10	111/111	---MCZ	200	added ('OK')	text/plain	date:Mon,%2025%20Jul%202022%2021:16:10%20GMT	https://codescandy.com/robots.txt		(from )
18:16:10	699/699	---M--	200	added ('OK')	image/x-icon	etag:%2262d676ff-2bb%22	https://codescandy.com/geeks-bootstrap-5/assets/images/favicon/favicon.ico	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/images/favicon/favicon.ico	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:11	12429/12429	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-308d%22	https://codescandy.com/geeks-bootstrap-5/assets/fonts/feather/feather.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/fonts/feather/feather.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:11	80533/80533	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-13a95%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-icons/font/bootstrap-icons.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-icons/font/bootstrap-icons.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:11	286/286	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-11e%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/dragula/dist/dragula.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/dragula/dist/dragula.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:12	309937/309937	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-4bab1%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/@mdi/font/css/materialdesignicons.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/@mdi/font/css/materialdesignicons.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:12	11789/11789	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-2e0d%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/dropzone/dist/dropzone.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/dropzone/dist/dropzone.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:12	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-1b27%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/magnific-popup/dist/magnific-popup.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/magnific-popup/dist/magnific-popup.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:12	11832/11832	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-2e38%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:12	11030/11030	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-2b16%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/@yaireo/tagify/dist/tagify.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/@yaireo/tagify/dist/tagify.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:13	2178/2178	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-882%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/tiny-slider/dist/tiny-slider.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/tiny-slider/dist/tiny-slider.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:13	1409/1409	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-581%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/tippy.js/dist/tippy.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/tippy.js/dist/tippy.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:13	11499/11499	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-2ceb%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/datatables.net-bs5/css/dataTables.bootstrap5.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/datatables.net-bs5/css/dataTables.bootstrap5.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:13	1380/1380	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-564%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/prismjs/themes/prism-okaidia.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/prismjs/themes/prism-okaidia.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:14	2937/2937	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-b79%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/simplebar/dist/simplebar.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/simplebar/dist/simplebar.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:14	4220/4220	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67701-107c%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/nouislider/dist/nouislider.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/nouislider/dist/nouislider.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:14	13749/13749	---MCZ	200	added ('OK')	text/css	etag:W/%2262d67700-35b5%22	https://codescandy.com/geeks-bootstrap-5/assets/libs/glightbox/dist/css/glightbox.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/libs/glightbox/dist/css/glightbox.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:15	638251/638251	---MCZ	200	added ('OK')	text/css	etag:W/%2262d676ff-9bd2b%22	https://codescandy.com/geeks-bootstrap-5/assets/css/theme.min.css	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/css/theme.min.css	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:15	6874/6874	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262d676ff-1ada%22	https://codescandy.com/geeks-bootstrap-5/assets/images/brand/logo/logo.svg	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/images/brand/logo/logo.svg	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:16	54682/54682	---M--	200	added ('OK')	image/jpeg	etag:%2262d67700-d59a%22	https://codescandy.com/geeks-bootstrap-5/assets/images/avatar/avatar-1.jpg	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/images/avatar/avatar-1.jpg	(from https://codescandy.com/geeks-bootstrap-5/index.html)
18:16:16	76940/76940	---M--	200	added ('OK')	image/jpeg	etag:%2262d67700-12c8c%22	https://codescandy.com/geeks-bootstrap-5/assets/images/avatar/avatar-2.jpg	C:/My%20Web%20Sites/GEEK/codescandy.com/geeks-bootstrap-5/assets/images/avatar/avatar-2.jpg	(from https://codescandy.com/geeks-bootstrap-5/index.html)
